area,short names,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
SUR,employment_agri_total,4.42,4.43,4.62,6.33,7.29,6.15,5.45,5.79,6.4,6.58,7.0,7.61,7.98,8.44,8.49,8.47,8.46,8.4,8.19,8.04,7.89,7.76,7.61,7.6,7.69,8.24,8.14,8.02,8.08,,
SVK,employment_agri_total,10.66,10.44,10.42,10.17,9.2,8.9,9.17,8.14,7.25,6.94,6.26,6.59,6.0,5.09,4.75,4.39,4.21,3.96,3.59,3.23,3.08,3.24,3.31,3.5,3.18,2.89,2.71,2.29,2.79,,
SVN,employment_agri_total,10.84,10.75,10.66,11.57,10.44,10.23,12.14,12.07,10.84,9.6,9.94,9.66,8.44,9.78,9.11,9.59,9.89,8.59,9.12,8.82,8.6,8.39,8.5,9.63,7.08,5.02,5.56,5.48,4.28,,
SWE,employment_agri_total,3.84,3.77,3.71,3.61,3.49,3.25,3.25,3.05,2.99,2.91,2.65,2.52,2.55,2.49,2.32,2.23,2.25,2.12,2.18,2.1,1.99,2.06,2.03,1.98,2.04,1.89,1.83,1.73,1.69,,
SWZ,employment_agri_total,23.43,23.27,23.06,22.88,22.59,22.33,22.03,21.74,21.4,21.0,20.57,20.02,19.47,18.91,18.27,17.66,17.1,16.69,16.24,15.76,15.32,14.79,14.34,13.96,13.55,13.2,12.86,12.5,12.15,,
SYC,employment_agri_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYR,employment_agri_total,28.21,29.7,31.09,29.8,28.38,28.3,28.29,27.98,27.84,32.89,31.02,28.91,26.98,24.96,22.92,20.99,19.14,17.55,16.0,14.51,13.23,13.21,13.16,12.83,12.27,11.73,11.22,10.66,10.13,,
TCD,employment_agri_total,83.23,82.98,83.38,82.97,82.89,82.78,82.52,82.21,82.22,82.23,81.7,81.29,80.62,79.66,78.89,78.74,78.48,78.22,77.89,77.15,77.04,76.49,76.11,75.65,75.38,75.61,75.64,75.39,75.06,,
TGO,employment_agri_total,50.02,50.05,50.35,49.83,49.44,49.01,48.33,48.38,48.15,48.0,47.77,47.3,46.62,46.51,46.68,46.27,46.11,45.61,44.91,44.17,43.39,42.59,41.76,40.97,38.68,36.26,33.79,33.1,32.38,,
THA,employment_agri_total,60.33,60.91,56.77,55.99,51.98,50.06,50.35,51.27,48.52,48.79,46.04,43.85,41.64,39.29,38.68,39.78,39.53,39.75,38.99,38.25,41.01,42.14,41.75,33.44,32.28,31.16,31.46,32.14,31.43,,
TJK,employment_agri_total,53.96,54.95,55.89,57.0,58.04,58.96,59.36,59.72,59.71,59.42,58.69,57.82,56.85,55.71,55.2,54.92,54.47,53.81,53.13,52.55,51.75,51.05,50.21,49.4,48.56,47.76,46.68,45.76,44.72,,
TKM,employment_agri_total,32.98,33.61,33.78,34.33,34.54,34.74,34.74,34.65,34.57,34.28,34.36,34.34,34.0,33.6,32.85,32.33,31.68,30.91,30.18,29.36,28.36,27.43,26.47,25.45,24.52,23.62,22.68,21.69,20.68,,
TLS,employment_agri_total,60.96,60.48,59.96,59.35,58.75,58.09,58.09,59.34,61.21,58.05,55.12,55.88,56.06,56.84,55.24,56.61,55.68,54.13,52.26,50.82,49.29,48.26,46.13,44.91,42.56,40.36,41.03,40.54,39.28,,
TON,employment_agri_total,38.2,38.31,38.19,36.11,35.42,35.48,35.46,35.25,34.95,33.77,32.64,32.05,31.86,31.53,29.95,28.76,28.74,27.17,26.15,25.28,24.45,23.73,23.87,23.54,22.74,21.46,20.61,19.85,19.37,,
TTO,employment_agri_total,11.74,11.54,11.33,12.38,10.64,9.59,9.5,8.15,8.12,7.23,7.86,6.89,5.9,4.64,4.34,4.41,3.81,3.83,3.87,3.76,3.72,3.74,3.53,3.61,3.43,3.25,3.18,3.11,3.03,,
TUN,employment_agri_total,22.13,21.99,21.91,21.8,21.71,21.49,21.27,21.0,20.66,20.3,19.92,19.72,19.3,18.75,18.53,19.44,18.7,18.02,18.47,17.95,16.36,17.07,15.37,14.87,14.75,14.77,14.81,14.28,13.8,,
TUR,employment_agri_total,29.76,29.57,29.33,29.41,29.12,28.81,28.21,28.21,27.82,27.3,27.14,26.87,26.31,25.51,24.8,24.06,23.48,23.14,22.95,23.7,24.16,23.56,22.92,21.09,20.41,19.5,19.38,18.43,18.11,,
TUV,employment_agri_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TZA,employment_agri_total,84.67,84.65,84.62,84.57,84.47,84.31,84.13,83.85,83.46,82.99,82.29,80.6,78.77,76.75,74.55,72.18,71.75,71.33,70.9,70.39,69.77,69.3,68.69,68.05,67.48,66.86,66.23,65.67,65.09,,
UGA,employment_agri_total,72.34,72.26,72.04,71.85,71.48,71.13,70.88,70.6,70.17,69.95,69.61,69.08,68.7,68.51,68.34,67.92,67.61,67.26,67.06,66.84,66.45,66.14,71.92,72.39,72.26,72.41,72.68,72.45,72.13,,
UKR,employment_agri_total,25.11,25.4,25.79,26.17,26.48,26.8,26.72,26.85,26.94,26.5,25.97,25.47,24.69,23.94,23.34,22.56,21.89,21.38,21.3,20.33,20.34,19.89,20.01,14.77,15.26,15.6,15.41,14.42,13.82,,
URY,employment_agri_total,11.73,11.73,11.73,11.73,11.74,11.71,11.67,11.6,11.53,11.47,11.39,11.32,11.2,11.04,10.87,10.74,10.68,10.58,10.95,11.57,9.79,8.61,9.29,9.14,8.82,8.22,8.74,8.36,8.41,,
USA,employment_agri_total,1.93,1.91,1.89,1.86,1.83,1.8,1.76,1.72,1.68,1.63,1.53,1.54,1.5,1.47,1.41,1.39,1.29,1.34,1.35,1.42,1.45,1.38,1.32,1.35,1.44,1.43,1.43,1.37,1.36,,
UZB,employment_agri_total,40.67,40.45,40.79,41.29,41.24,41.55,41.58,40.86,39.8,39.08,38.17,37.21,36.17,34.96,33.69,32.37,30.91,29.47,28.09,26.81,27.09,26.6,27.17,27.53,27.58,27.42,27.15,26.65,25.71,,
VCT,employment_agri_total,24.78,23.73,22.75,21.89,20.95,20.12,19.2,18.32,17.53,16.81,16.03,15.5,14.97,14.52,14.14,13.65,13.27,12.91,12.66,12.49,12.19,11.91,11.61,11.37,11.08,10.84,10.58,10.32,10.08,,
VEN,employment_agri_total,12.64,11.78,11.27,13.9,13.52,13.53,10.82,9.99,10.19,10.61,9.65,9.97,10.77,10.5,10.29,9.42,8.84,8.52,8.37,8.28,7.99,7.66,7.45,7.33,7.33,7.4,7.45,7.54,7.86,,
VNM,employment_agri_total,70.88,69.81,68.78,67.82,66.97,66.31,65.28,64.77,64.99,65.25,63.99,62.04,59.68,57.9,54.83,51.67,49.28,48.62,47.55,48.71,48.31,47.37,46.81,46.34,44.02,41.87,40.16,38.7,37.22,,
VUT,employment_agri_total,69.72,69.74,70.04,69.7,69.99,69.98,69.68,69.21,69.22,68.66,69.06,69.66,68.96,68.67,67.95,67.11,66.07,64.21,60.55,63.83,64.1,63.8,62.88,62.42,60.62,59.42,58.57,57.64,56.78,,
WSM,employment_agri_total,46.0,45.87,45.55,46.07,44.98,44.41,44.58,43.58,42.82,41.95,40.58,40.02,39.01,38.64,37.87,37.15,35.81,35.38,35.73,34.54,33.8,33.95,33.94,33.09,32.33,31.76,31.41,30.85,30.21,,
YEM,employment_agri_total,54.82,54.69,54.74,54.65,52.49,50.31,47.99,45.57,43.26,40.84,38.42,35.96,33.48,31.03,29.9,28.82,27.72,26.53,25.3,24.11,25.87,27.01,28.02,29.25,29.47,29.26,28.9,28.31,27.55,,
ZAF,employment_agri_total,11.51,11.48,11.39,11.27,11.13,10.95,10.74,10.54,10.28,9.93,9.32,8.71,8.14,7.57,7.02,6.5,6.01,5.57,5.05,4.85,4.6,4.83,4.98,4.65,5.61,5.57,5.28,5.16,5.28,,
ZMB,employment_agri_total,70.21,70.21,70.07,70.42,70.3,70.05,69.89,69.97,70.42,70.88,71.23,71.57,71.78,71.98,72.26,72.02,71.73,71.43,68.09,64.33,60.43,56.03,54.47,53.28,52.27,51.37,50.71,50.11,49.64,,
ZWE,employment_agri_total,61.43,61.47,61.4,61.08,60.92,60.52,60.31,60.08,60.03,60.62,61.0,61.9,62.95,63.67,64.51,64.72,65.55,66.5,66.07,65.54,65.86,65.99,66.77,67.24,67.06,66.88,66.48,66.02,66.19,,
